Date/Time,Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Gas:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Gas:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Gas:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod) 
 01/01,257021577.113356,0.0,1659920437.50071,0.0,0.0 
 01/02,398138077.231277,0.0,2068393441.85809,0.0,0.0 
 01/03,398363077.231277,0.0,1971605843.79806,0.0,0.0 
 01/04,397448077.231277,0.0,2365842435.38701,0.0,0.0 
 01/05,398363077.231277,0.0,3686715255.49047,0.0,0.0 
 01/06,398363077.231277,0.0,3858322158.50635,0.0,0.0 
 01/07,260179077.113356,0.0,4143476808.67554,0.0,0.0 
 01/08,260179077.113356,0.0,4215310844.80779,0.0,0.0 
 01/09,398363077.231277,0.0,3819645293.69941,0.0,0.0 
 01/10,398363077.231277,0.0,2658519278.54324,0.0,0.0 
 01/11,382841111.419311,0.0,1236413630.91463,0.0,0.0 
 01/12,362923760.991961,0.0,205290391.248946,0.0,0.0 
 01/13,394395577.231277,0.0,1725785137.89215,0.0,0.0 
 01/14,260179077.113356,0.0,2595874888.84554,0.0,0.0 
 01/15,260119077.113356,0.0,2201413167.35342,0.0,0.0 
 01/16,514060329.119235,0.0,2403990724.92914,0.0,0.0 
 01/17,485093407.170043,0.0,839142619.495413,0.0,0.0 
 01/18,513316403.741031,0.0,1527750029.2655,0.0,0.0 
 01/19,514163802.997603,0.0,1726532140.71882,0.0,0.0 
 01/20,493410352.045539,0.0,1198481707.83409,0.0,0.0 
 01/21,234053777.968057,0.0,813962998.14779,0.0,0.0 
 01/22,227292730.95951,0.0,504041087.05438,0.0,0.0 
 01/23,504766978.563278,0.0,1593141104.57606,0.0,0.0 
 01/24,515351624.365031,0.0,2121446037.53741,0.0,0.0 
 01/25,500882792.397579,0.0,1255055756.90332,0.0,0.0 
 01/26,513920942.592006,0.0,2071101474.36992,0.0,0.0 
 01/27,514451078.71835,0.0,2531475168.41478,0.0,0.0 
 01/28,260179077.113356,0.0,2926026952.02324,0.0,0.0 
 01/29,260179077.113356,0.0,3036134506.00351,0.0,0.0 
 01/30,513660964.520619,0.0,2756337888.93307,0.0,0.0 
 01/31,515106188.979036,0.0,2707996787.34673,0.0,0.0,12305129404.1919,0.0,68425145998.0746,0.0,0.0 
 02/01,515060023.0223,0.0,2672059394.94529,0.0,0.0 
 02/02,515536979.883054,0.0,3062162465.47313,0.0,0.0 
 02/03,514150580.646083,0.0,3636979914.57157,0.0,0.0 
 02/04,260179077.113356,0.0,3168234139.90636,0.0,0.0 
 02/05,260179077.113356,0.0,2434637165.35067,0.0,0.0 
 02/06,498900487.779917,0.0,1467212217.92408,0.0,0.0 
 02/07,477022877.665149,0.0,93475816.5585566,0.0,0.0 
 02/08,503848177.438843,0.0,1420237380.37067,0.0,0.0 
 02/09,515414683.874432,0.0,3309070747.83164,0.0,0.0 
 02/10,513258545.168328,0.0,2922561446.00042,0.0,0.0 
 02/11,242152795.062074,0.0,1504723522.73706,0.0,0.0 
 02/12,251401406.173186,0.0,1611150272.61346,0.0,0.0 
 02/13,511312755.986747,0.0,1971177611.81434,0.0,0.0 
 02/14,510264762.172491,0.0,1496951000.46065,0.0,0.0 
 02/15,515483332.744107,0.0,2050676398.54638,0.0,0.0 
 02/16,514586219.384024,0.0,2839146951.67441,0.0,0.0 
 02/17,509189717.622891,0.0,1444224819.24907,0.0,0.0 
 02/18,233673371.985151,0.0,737132738.446994,0.0,0.0 
 02/19,232784867.711647,0.0,471909702.794214,0.0,0.0 
 02/20,489672621.556762,0.0,417931594.560468,0.0,0.0 
 02/21,487254215.521308,0.0,375948509.598309,0.0,0.0 
 02/22,476980891.302144,0.0,0.0,0.0,0.0 
 02/23,470407788.48533,0.0,0.0,0.0,0.0 
 02/24,477024417.215862,0.0,0.0,0.0,0.0 
 02/25,241977517.284297,0.0,680674093.370514,0.0,0.0 
 02/26,256144077.113356,0.0,1686968980.92643,0.0,0.0 
 02/27,511699359.601893,0.0,1405048979.96146,0.0,0.0 
 02/28,488763324.564825,0.0,737307550.087856,0.0,0.0,11994323951.1926,0.0,43617603415.774,0.0,0.0 
 03/01,474955890.18552,0.0,26991676.6416101,0.0,0.0 
 03/02,513895826.813142,0.0,1530573604.87618,0.0,0.0 
 03/03,514769215.735004,0.0,1794165026.18283,0.0,0.0 
 03/04,252076983.096262,0.0,1003115572.96414,0.0,0.0 
 03/05,252130701.04498,0.0,1386696272.53668,0.0,0.0 
 03/06,489572705.676143,0.0,907843653.086527,0.0,0.0 
 03/07,474230284.39988,0.0,9556325.81605279,0.0,0.0 
 03/08,492552362.43927,0.0,656262807.0944,0.0,0.0 
 03/09,493511276.548506,0.0,409227981.019199,0.0,0.0 
 03/10,513456132.346878,0.0,1299139666.99774,0.0,0.0 
 03/11,257869077.113356,0.0,2232828271.52947,0.0,0.0 
 03/12,259954077.113356,0.0,2745525057.06878,0.0,0.0 
 03/13,477812546.905265,0.0,2269575631.36392,0.0,0.0 
 03/14,479991634.777217,0.0,2342067870.99378,0.0,0.0 
 03/15,479616736.596171,0.0,2600906961.07517,0.0,0.0 
 03/16,478759382.903761,0.0,2148766925.94333,0.0,0.0 
