time,OAT C,OAH %,WS M/S,WD,SOLDIF W/M2,SOLDIR W/M2,HWOEN C,PPD(PRCD) %,MULSSP C,IAT C,IATSSP C,OCCP,HTDMD KW,AMVRAW_0,AMVRAW_1,AMVRAW_2,AMVRAW_3,AMVRAW_4,AMVRAW_5,AMVRAW_6,AMVRAW_7,AMVRAW_8,AMVRAW_9,AMVRAW_10,AMVRAW_11,AMVRAW_12,AMVRAW_13,AMVRAW_14
2018-01-30 16:22:25.004533,-6.233332777777778,71.099998,1.519936,310.0,38.344514525508075,2.685485474491937,10.0,0.0,48.957812222222216,22.163992777777782,22.22222222222222,1,33.161063999999996,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 16:27:32.157038,-6.233332777777778,71.099998,1.519936,310.0,43.13626501103983,4.843734988960158,10.0,0.0,48.55509,22.167994444444442,22.22222222222222,1,33.62404172222223,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 16:31:58.823449,-6.233332777777778,71.099998,1.519936,310.0,40.02295425089078,4.477045749109227,10.0,6.666666666666667,48.63509277777777,22.151993888888885,22.22222222222222,1,36.81404200000001,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 16:37:06.113032,-6.233332777777778,71.099998,1.519936,310.0,34.21090672468897,3.249093275311029,10.0,0.0,48.77511333333333,22.123989444444447,22.22222222222222,1,40.787282999999995,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 16:42:13.578657,-6.233332777777778,71.099998,1.519936,310.0,37.643090607841046,6.046909392158947,10.0,0.0,48.855095,22.107993333333333,22.22222222222222,1,33.71831861111111,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 16:47:21.159368,-6.233332777777778,71.099998,1.519936,310.0,34.82225536527125,6.207744634728748,10.0,0.0,48.97508833333333,22.08399444444444,22.22222222222222,1,35.72494016666667,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 16:52:28.544429,-6.483333333333334,71.199997,2.771648,306.0,27.47808357400905,3.521916425990949,10.0,0.0,49.13509388888889,22.051993333333336,22.22222222222222,1,39.152438166666656,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 16:57:35.764999,-6.483333333333334,71.199997,2.771648,306.0,23.204306551898153,2.75569344810185,10.0,0.0,49.61288888888889,22.01199,22.22222222222222,1,30.540719,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:02:43.128999,-6.483333333333334,71.199997,2.771648,306.0,20.72848510675737,2.8115148932426313,10.0,0.0,49.75286722222222,21.975992222222224,22.22222222222222,1,37.46023133333334,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:07:50.797038,-6.483333333333334,71.199997,2.771648,306.0,17.317306807113592,2.4226931928864057,10.0,0.0,49.932878333333335,21.94399111111111,22.22222222222222,1,46.31116216666666,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:12:57.904992,-6.483333333333334,71.199997,2.771648,306.0,13.528277399616398,1.8117226003836016,10.0,0.0,50.03288666666666,21.92799444444444,22.22222222222222,1,40.4022025,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:18:04.869001,-6.483333333333334,71.199997,2.771648,306.0,10.244902066767805,1.435097933232194,10.0,0.0,50.13287444444445,21.90799277777778,22.22222222222222,1,30.970296944444442,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:23:11.811288,-6.294444444444443,71.0,2.2799039999999997,291.0,7.014646035506777,1.0553539644932228,10.0,0.0,50.042991666666666,21.895989444444442,22.22222222222222,1,43.18801483333333,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:28:19.268991,-6.294444444444443,71.0,2.2799039999999997,291.0,4.214254985510096,1.0257450144899045,10.0,0.0,50.20299722222222,21.859995555555557,22.22222222222222,1,35.54233994444444,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:33:26.526560,-6.294444444444443,71.0,2.2799039999999997,291.0,0.0,4.1743075631519675,10.0,0.0,50.28299944444444,21.831991666666664,22.22222222222222,1,33.8416515,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:38:33.756940,-6.294444444444443,71.0,2.2799039999999997,291.0,2.6284137575461095,0.09158624245389058,10.0,0.0,50.36300222222222,21.807997222222223,22.22222222222222,1,44.506021000000004,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:43:40.505016,-6.294444444444443,71.0,2.2799039999999997,291.0,2.026759707933229,0.013240292066771029,10.0,0.0,50.482995555555554,21.783989999999996,22.22222222222222,1,40.50603338888889,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:48:47.800995,-6.294444444444443,71.0,2.2799039999999997,291.0,1.7954133122454206,0.004586687754579584,10.0,0.0,50.643022222222214,21.763988333333334,22.22222222222222,1,30.8057255,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2018-01-30 17:53:55.248994,-6.961111666666666,70.0,4.02336,286.0,1.3388600726294364,0.0011399273705638895,10.0,0.0,51.46374611111111,21.747991666666664,22.22222222222222,1,39.36079844444445,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
