Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),SPACE1-1:Zone People Occupant Count [](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Mean Radiant Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Clothing Value [clo](TimeStep),SPACE1-1 IN NODE:System Node Temperature [C](TimeStep),SPACE1-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),VAV SYS 1 OUTLET NODE:System Node Temperature [C](TimeStep),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/15  01:30:00,16.1,81.5,7.15,135,0,0,0,19.15237997,64.97228213,15,23,186.5929172,-1.742581428,64.01767486,19.27177901,0.572960919,17.99943228,0.103733636,17.99579004,0.526504257
 01/15  01:45:00,16.1,82.25,7.425,137.5,0,0,0,19.10712612,65.55042416,15,23,186.5929172,-1.754739109,64.65899486,19.22446212,0.572960919,17.99938247,0.105435329,17.9957406,0.53299338
 01/15  02:00:00,16.1,83,7.7,140,0,0,0,19.06610766,66.14461655,16,24,186.5929172,-1.765495847,65.22405325,19.18194299,0.572960919,17.99936065,0.107167019,17.99577039,0.539596886
 01/15  02:15:00,15.95,85.5,7.7,140,0,0,0,19.02012049,66.85369413,15,23,186.5929172,-1.776026623,65.77497201,19.13491936,0.572960919,17.98836233,0.113677396,17.98506333,0.564423115
 01/15  02:30:00,15.8,88,7.7,140,0,0,0,18.97081881,67.68267142,15,23,186.5929172,-1.786769728,66.33456652,19.08856688,0.572960919,17.98754748,0.121476915,17.98376708,0.59416527
 01/15  02:45:00,15.65,90.5,7.7,140,0,0,0,18.92051038,68.59676083,15,23,186.5929172,-1.797780772,66.90544432,19.0401174,0.572960919,17.98800508,0.129869973,17.98426049,0.626170788
 01/15  03:00:00,15.5,93,7.7,140,0,0,0,18.87046645,69.56077347,15,24,186.5929172,-1.808475128,67.45719254,18.99224437,0.572960919,17.98868781,0.139099034,17.98445629,0.66136426
 01/15  03:15:00,15.5,93,7.175,140,0,0,0,18.82996713,70.39091185,15,23,186.5929172,-1.818191376,67.9560635,18.95027479,0.572960919,17.99779932,0.143165429,17.99366341,0.676870777
 01/15  03:30:00,15.5,93,6.65,140,0,0,0,18.79704817,71.08029258,15,23,186.5929172,-1.82612577,68.36167984,18.9134355,0.572960919,17.99906483,0.146832481,17.99452338,0.690854461
 01/15  03:45:00,15.5,93,6.125,140,0,0,0,18.76810781,71.67000205,15,23,186.5929172,-1.832904304,68.70691076,18.88056649,0.572960919,17.99916974,0.150378392,17.9946452,0.705098091
 01/15  04:00:00,15.5,93,5.6,140,0,0,0,18.74182049,72.19235063,15,22,186.5929172,-1.839042303,69.01846323,18.85103606,0.572960919,17.99908514,0.153969744,17.99450882,0.720340878
 01/15  04:15:00,15.375,93.75,6.25,150,0,0,0,18.70837651,72.7168869,16,23,186.5929172,-1.845441308,69.34217144,18.81789933,0.572960919,17.99066316,0.163283049,17.9857204,0.763392715
 01/15  04:30:00,15.25,94.5,6.9,160,0,0,0,18.66927906,73.21983644,16,23,186.5929172,-1.853574359,69.75195382,18.78214933,0.572960919,17.98962292,0.174456371,17.98470233,0.815631036
 01/15  04:45:00,15.125,95.25,7.55,170,0,0,0,18.62818577,73.6900038,15,22,186.5929172,-1.863125885,70.23079132,18.74432582,0.572960919,17.99016291,0.186895233,17.9851232,0.873786105
 01/15  05:00:00,15,96,8.2,180,0,0,0,18.5874874,74.12372149,16,23,205.9202492,-1.873426719,70.74418439,18.7049147,0.572960919,18.00067409,0.200656063,18.00580774,0.938121729
 01/15  05:15:00,15,96,7.425,165,0,0,0,18.55641782,74.47108122,16,23,215.2468682,-1.883104789,71.22360986,18.67181628,0.572960919,17.99899052,0.205348549,18.00457675,0.960060381
 01/15  05:30:00,15,96,6.65,150,0,0,0,18.53254066,74.76554761,17,24,225.8028132,-1.890881745,71.60674784,18.64250239,0.572960919,17.99915666,0.210539932,18.0050633,0.98433151
 01/15  05:45:00,15,96,5.875,135,0,0,0,18.51221898,75.02419248,16,23,236.4720912,-1.897102665,71.91184229,18.61712237,0.572960919,17.99901175,0.215666785,18.0049981,1.008300941
 01/15  06:00:00,15,96,5.1,120,0,0,0,18.49425959,75.25420418,15,24,247.2231342,-1.902450149,72.17310023,18.59483833,0.572960919,17.99896695,0.220718955,18.00492248,1.031921215
