1,1.1mp.cws.pittsburgh.whole,,,,,,,,,,,,,,,
,train,,,v1,,,v2,,,v3,,,v4,,,occp
Date/Time,training,[1] System Node Mass Flow Rate (kg/s),,testing1,,,testing2,,,testing3,,,testing4,,,
2002/6/1 4:10,-433053.7862,77.3421103,0.50851854,-181983.9594,95.57025084,0.628367189,-346301.1984,95.57025084,0.628367189,-181069.3871,95.57025084,0.628367189,-344624.8432,95.57025084,0.628367189,0
2002/6/1 4:20,-398216.7791,77.3421103,0.50851854,-181961.8472,95.57025084,0.628367189,-347143.1728,95.57025084,0.628367189,-181047.322,95.57025084,0.628367189,-345467.5538,95.57025084,0.628367189,0
2002/6/1 4:30,-407125.0301,77.3421103,0.50851854,-181957.1124,95.57025084,0.628367189,-347527.8363,95.57025084,0.628367189,-181042.5748,95.57025084,0.628367189,-345851.1824,95.57025084,0.628367189,0
2002/6/1 4:40,-395884.8321,77.3421103,0.50851854,-181959.6455,95.57025084,0.628367189,-347334.9855,95.57025084,0.628367189,-181045.1106,95.57025084,0.628367189,-345658.1821,95.57025084,0.628367189,0
2002/6/1 4:50,-393014.3116,77.3421103,0.50851854,-181963.0876,95.57025084,0.628367189,-346558.5893,95.57025084,0.628367189,-181048.6262,95.57025084,0.628367189,-344881.8798,95.57025084,0.628367189,0
2002/6/1 5:00,-393725.5278,77.3421103,0.50851854,-181967.7173,95.57025084,0.628367189,-345031.5191,95.57025084,0.628367189,-181053.2299,95.57025084,0.628367189,-343354.9477,95.57025084,0.628367189,0
2002/6/1 5:10,-385258.703,77.3421103,0.50851854,-183114.0553,95.57025084,0.628367189,-344873.2267,95.57025084,0.628367189,-182199.5781,95.57025084,0.628367189,-343196.5158,95.57025084,0.628367189,0
2002/6/1 5:20,-372638.1124,77.3421103,0.50851854,-184129.3132,95.57025084,0.628367189,-344593.0539,95.57025084,0.628367189,-183214.9092,95.57025084,0.628367189,-342913.7385,95.57025084,0.628367189,0
2002/6/1 5:30,-371087.1595,77.3421103,0.50851854,-184898.1522,95.57025084,0.628367189,-344480.1354,95.57025084,0.628367189,-183983.7175,95.57025084,0.628367189,-342802.8266,95.57025084,0.628367189,0
2002/6/1 5:40,-368928.4627,77.3421103,0.50851854,-185937.6858,95.57025084,0.628367189,-344240.3056,95.57025084,0.628367189,-185023.2963,95.57025084,0.628367189,-342563.2649,95.57025084,0.628367189,0
2002/6/1 5:50,-366811.8034,77.3421103,0.50851854,-186881.4859,95.57025084,0.628367189,-343738.3831,95.57025084,0.628367189,-185966.2732,95.57025084,0.628367189,-342056.0255,95.57025084,0.628367189,0
