1,1.csl.vavDx.light.pittsburgh,
2,3.csl.vavDx.heavy.pittsburgh,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,1ST%FLOOR:1ST%RESEARCH%OPEN%NW
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/6/1 19:20,23.08098288,23.07450206
2002/6/1 19:30,23.00950411,23.11596562
2002/6/1 19:40,23.07835858,23.21542842
2002/6/1 19:50,22.99999966,23.11713768
2002/6/1 20:00,22.95888944,23.05896967
2002/6/1 20:10,23.10827406,23.196
2002/6/1 20:20,23.29395464,23.35912953
2002/6/1 20:30,23.43267246,23.34671289
2002/6/1 20:40,23.36883049,23.35972843
2002/6/1 20:50,23.37504479,23.39621046
2002/6/1 21:00,23.63798225,23.67142118
2002/6/1 21:10,23.61985229,23.6583596
2002/6/1 21:20,23.45410539,23.53708982
2002/6/1 21:30,23.35285316,23.36696982
2002/6/1 21:40,23.39875054,23.37041393
2002/6/1 21:50,23.44796444,23.4633711
2002/6/1 22:00,23.36229291,23.41873617
2002/6/1 22:10,23.31331039,23.34954116
2002/6/1 22:20,23.26106956,23.32442071
2002/6/1 22:30,23.20676602,23.2872312
2002/6/1 22:40,23.11313445,23.22842442
2002/6/1 22:50,23.11933229,23.2536111
2002/6/1 23:00,23.1070901,23.23109421
2002/6/1 23:10,23.03836186,23.19656211
2002/6/1 23:20,23.00659883,23.17368193
2002/6/1 23:30,22.9459956,23.11857353
2002/6/1 23:40,22.86371718,23.05995129
2002/6/1 23:50,22.82323208,23.02805243
2002/6/2 0:00,22.81145651,23.01926726
2002/6/2 0:10,22.79475262,23.01298618
2002/6/2 0:20,22.84996087,23.08014835
2002/6/2 0:30,22.84066873,23.08022715
2002/6/2 0:40,22.77729527,23.02476726
2002/6/2 0:50,22.70942087,22.9645874
2002/6/2 1:00,22.66859389,22.93232867
2002/6/2 1:10,22.64192062,22.91418465
2002/6/2 1:20,22.58669617,22.86763123
2002/6/2 1:30,22.50780627,22.79789004
2002/6/2 1:40,22.47913889,22.80903525
2002/6/2 1:50,22.39738591,22.73730658
2002/6/2 2:00,22.30940467,22.64476118
2002/6/2 2:10,22.22710451,22.5621349
2002/6/2 2:20,22.1509389,22.49347622
2002/6/2 2:30,22.11726623,22.44004335
2002/6/2 2:40,22.05500686,22.41216827
2002/6/2 2:50,22.02228975,22.4062883
2002/6/2 3:00,21.98751889,22.38335666
2002/6/2 3:10,21.97208002,22.37304255
2002/6/2 3:20,21.98406185,22.39109885
2002/6/2 3:30,21.9645957,22.37861586
2002/6/2 3:40,21.95447666,22.37641745
2002/6/2 3:50,21.89057443,22.32046796
2002/6/2 4:00,21.83931281,22.27592169
2002/6/2 4:10,21.76251269,22.20729834
2002/6/2 4:20,21.68756995,22.14179491
2002/6/2 4:30,21.6473451,22.11121487
2002/6/2 4:40,21.61637226,22.09004636
2002/6/2 4:50,21.73025682,22.20813154
2002/6/2 5:00,21.73393073,22.21999646
2002/6/2 5:10,21.69611478,22.18809347
2002/6/2 5:20,21.67590941,22.15707086
2002/6/2 5:30,21.60895544,22.10847841
2002/6/2 5:40,21.55032317,22.09324665
2002/6/2 5:50,21.55238111,22.08968491
2002/6/2 6:00,21.54539822,22.08449104
2002/6/2 6:10,21.54207326,22.08584649
2002/6/2 6:20,21.60318843,22.15174254
2002/6/2 6:30,21.64633386,22.19820997
2002/6/2 6:40,21.68064353,22.23529019
2002/6/2 6:50,21.68258478,22.26881502
2002/6/2 7:00,21.79520828,22.36513128
2002/6/2 7:10,21.86211178,22.47285745
2002/6/2 7:20,22.01092647,22.52128261
2002/6/2 7:30,22.09590242,22.55511723
2002/6/2 7:40,22.28982616,22.76702039
2002/6/2 7:50,22.46856529,22.94046114
2002/6/2 8:00,22.46447158,22.84054414
2002/6/2 8:10,22.60079527,22.87118029
2002/6/2 8:20,23.2159722,23.3918986
2002/6/2 8:30,23.41329097,23.86720132
2002/6/2 8:40,23.71104381,23.88682237
2002/6/2 8:50,23.87009625,23.88655151
2002/6/2 9:00,23.87982679,23.88536218
2002/6/2 9:10,23.97117393,24.04053174
2002/6/2 9:20,24.07418382,24.07331739
2002/6/2 9:30,24.07531004,24.07956753
2002/6/2 9:40,24.07550537,24.07934297
2002/6/2 9:50,24.07527819,24.08052193
2002/6/2 10:00,24.07562893,24.08216911
2002/6/2 10:10,24.23501207,24.38391592
2002/6/2 10:20,24.23347098,24.51361553
2002/6/2 10:30,24.31723288,24.52470644
2002/6/2 10:40,24.35125235,24.51963573
2002/6/2 10:50,24.25829759,24.48010285
2002/6/2 11:00,24.23567197,24.484165
2002/6/2 11:10,23.72059827,23.81743847
2002/6/2 11:20,23.74067435,23.73580164
2002/6/2 11:30,23.75092085,23.73990846
2002/6/2 11:40,23.75210119,23.73907603
2002/6/2 11:50,23.74960318,23.73318097
2002/6/2 12:00,23.75213728,23.73725046
