1,13.csl.vavDx.light.pittsburgh.heat,
2,15.csl.vavDx.heavy.pittsburgh.heat,
,,
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/1/1 19:40,18.17244241,17.99751363
2002/1/1 19:50,18.17290332,17.99391018
2002/1/1 20:00,18.17295049,17.99602126
2002/1/1 20:10,18.7080266,18.87335995
2002/1/1 20:20,18.72167695,18.87855005
2002/1/1 20:30,18.71781692,18.87908891
2002/1/1 20:40,18.7204083,18.87427395
2002/1/1 20:50,18.72106615,18.87711756
2002/1/1 21:00,18.72116896,18.87767174
2002/1/1 21:10,18.17552783,18.06922392
2002/1/1 21:20,18.15780173,17.92230502
2002/1/1 21:30,18.15208801,17.92026486
2002/1/1 21:40,18.15566432,17.91611631
2002/1/1 21:50,18.15648977,17.91845415
2002/1/1 22:00,18.15666108,17.91913014
2002/1/1 22:10,18.77387197,18.44319615
2002/1/1 22:20,18.785921,18.4475297
2002/1/1 22:30,18.78121206,18.44145704
2002/1/1 22:40,18.7842755,18.44556783
2002/1/1 22:50,18.78498117,18.44655809
2002/1/1 23:00,18.78534642,18.44686677
2002/1/1 23:10,18.02331575,18.24753043
2002/1/1 23:20,17.90263389,18.24507261
2002/1/1 23:30,17.89426407,18.23919164
2002/1/1 23:40,17.89663202,18.24306705
2002/1/1 23:50,17.89716122,18.24396338
2002/1/2 0:00,17.89730265,18.24412528
2002/1/2 0:10,18.96886529,17.87984415
2002/1/2 0:20,18.99653723,17.87528119
2002/1/2 0:30,18.99227199,17.86960312
2002/1/2 0:40,18.99521969,17.87333958
2002/1/2 0:50,18.99668482,17.87417655
2002/1/2 1:00,18.99666056,17.87433053
2002/1/2 1:10,17.80755,17.55886284
2002/1/2 1:20,17.52651959,17.55661152
2002/1/2 1:30,17.50714354,17.55097901
2002/1/2 1:40,17.50173443,17.55477948
2002/1/2 1:50,17.50454453,17.55558303
2002/1/2 2:00,17.50506621,17.5557685
2002/1/2 2:10,17.78660747,17.32347832
2002/1/2 2:20,17.79109963,17.32114635
2002/1/2 2:30,17.7857043,17.31661626
2002/1/2 2:40,17.78898632,17.31935032
2002/1/2 2:50,17.7896708,17.31985866
2002/1/2 3:00,17.78992417,17.31992719
2002/1/2 3:10,18.79537439,17.05655506
2002/1/2 3:20,18.81524163,17.05455063
2002/1/2 3:30,18.8059692,17.05507991
2002/1/2 3:40,18.81262007,17.05101554
2002/1/2 3:50,18.8142219,17.05355453
2002/1/2 4:00,18.81495614,17.05403963
2002/1/2 4:10,18.49453759,18.03382621
2002/1/2 4:20,18.49020695,18.05554979
2002/1/2 4:30,18.48133502,18.05651869
2002/1/2 4:40,18.48687528,18.05028545
2002/1/2 4:50,18.48873414,18.05401362
2002/1/2 5:00,18.48882242,18.05471648
2002/1/2 5:10,17.49723961,18.13926799
2002/1/2 5:20,17.38116502,18.13099138
2002/1/2 5:30,17.37113185,18.13768753
2002/1/2 5:40,17.37791033,18.13910485
2002/1/2 5:50,17.37937125,18.13966048
2002/1/2 6:00,17.37981346,18.13968876
2002/1/2 6:10,18.03128346,17.85998235
2002/1/2 6:20,18.03979257,17.85643204
2002/1/2 6:30,18.0298105,17.84776976
2002/1/2 6:40,18.03662315,17.85365526
2002/1/2 6:50,18.03830068,17.85516985
2002/1/2 7:00,18.03930847,17.85514558
2002/1/2 7:10,21.96248455,21.61006997
2002/1/2 7:20,22.43358003,21.98699995
2002/1/2 7:30,22.44708843,21.98961757
2002/1/2 7:40,22.44010271,21.99620186
2002/1/2 7:50,22.44440406,21.99863329
2002/1/2 8:00,22.44559738,21.9997776
2002/1/2 8:10,21.2288719,22.46350324
2002/1/2 8:20,21.15986678,22.48264347
2002/1/2 8:30,21.14478146,22.47221626
2002/1/2 8:40,21.1542187,22.47909496
2002/1/2 8:50,21.15683643,22.48101543
2002/1/2 9:00,21.15776296,22.481862
2002/1/2 9:10,22.13414485,22.13968593
2002/1/2 9:20,22.19156831,22.12370256
2002/1/2 9:30,22.18758618,22.13155294
2002/1/2 9:40,22.19222854,22.13429668
2002/1/2 9:50,22.19694227,22.13849852
2002/1/2 10:00,22.19608452,22.1384648
2002/1/2 10:10,22.8077026,22.45013996
2002/1/2 10:20,22.83003884,22.45772718
2002/1/2 10:30,22.83051224,22.45818386
2002/1/2 10:40,22.83098416,22.4581527
2002/1/2 10:50,22.83108659,22.45868495
2002/1/2 11:00,22.83164424,22.45034155
2002/1/2 11:10,21.9187092,22.47367199
2002/1/2 11:20,21.87248878,22.46294766
2002/1/2 11:30,21.8606277,22.46997476
2002/1/2 11:40,21.87217781,22.47061429
2002/1/2 11:50,21.87183741,22.47481721
2002/1/2 12:00,21.87111664,22.47401443
2002/1/2 12:10,22.38758615,22.22993648
2002/1/2 12:20,22.39712373,22.22668045
2002/1/2 12:30,22.39703727,22.22635381
2002/1/2 12:40,22.39714136,22.2264807
2002/1/2 12:50,22.3973026,22.22679585
2002/1/2 13:00,22.39756052,22.22727393
2002/1/2 13:10,21.84815593,21.4915629
2002/1/2 13:20,21.82137795,21.47382573
2002/1/2 13:30,21.82177952,21.46472258
2002/1/2 13:40,21.815949,21.46968881
2002/1/2 13:50,21.81929723,21.4737285
2002/1/2 14:00,21.8224292,21.47287606
2002/1/2 14:10,23.09920612,21.89011654
2002/1/2 14:20,23.0982593,21.90635292
2002/1/2 14:30,23.09777047,21.90651007
2002/1/2 14:40,23.09766466,21.90656628
2002/1/2 14:50,23.09769912,21.90703859
2002/1/2 15:00,23.09810285,21.90707037
2002/1/2 15:10,22.15950641,22.5425239
2002/1/2 15:20,22.0521271,22.55733863
2002/1/2 15:30,22.05100663,22.55797195
2002/1/2 15:40,22.0510877,22.55801056
2002/1/2 15:50,22.0513251,22.5585745
2002/1/2 16:00,22.05146157,22.55881438
2002/1/2 16:10,21.42436387,21.65572975
2002/1/2 16:20,21.36400141,21.57600883
2002/1/2 16:30,21.36308148,21.57524994
2002/1/2 16:40,21.36310571,21.57543125
2002/1/2 16:50,21.36345219,21.57546377
2002/1/2 17:00,21.36315393,21.57544839
2002/1/2 17:10,22.32520663,22.28180315
2002/1/2 17:20,22.35560419,22.29449904
2002/1/2 17:30,22.35671948,22.28833969
2002/1/2 17:40,22.35733114,22.29205902
2002/1/2 17:50,22.35740702,22.29348793
2002/1/2 18:00,22.35737648,22.293329
2002/1/2 18:10,22.51195858,22.10261739
2002/1/2 18:20,22.51683099,22.09922984
2002/1/2 18:30,22.51726049,22.09156418
2002/1/2 18:40,22.51729407,22.095122
2002/1/2 18:50,22.51034916,22.09642705
2002/1/2 19:00,22.5136277,22.09678509
2002/1/2 19:10,21.79667785,21.64064984
2002/1/2 19:20,21.77031413,21.6259817
2002/1/2 19:30,21.77272924,21.63176004
2002/1/2 19:40,21.77430168,21.63422136
2002/1/2 19:50,21.77444443,21.63501276
2002/1/2 20:00,21.77437139,21.63513437
2002/1/2 20:10,19.33530186,19.08882015
2002/1/2 20:20,18.16523293,17.67945637
2002/1/2 20:30,17.80465964,17.67844052
2002/1/2 20:40,17.77814923,17.67195063
2002/1/2 20:50,17.77816088,17.67585975
2002/1/2 21:00,17.77166341,17.67663031
2002/1/2 21:10,16.98128243,16.93050531
2002/1/2 21:20,16.80410016,16.82929424
2002/1/2 21:30,16.79310512,16.8190849
2002/1/2 21:40,16.7983818,16.82467082
2002/1/2 21:50,16.79963206,16.82621005
2002/1/2 22:00,16.79991943,16.82634112
2002/1/2 22:10,18.42980813,18.53972847
2002/1/2 22:20,18.41059062,18.51065537
2002/1/2 22:30,18.40413912,18.5106974
2002/1/2 22:40,18.40718715,18.50651762
2002/1/2 22:50,18.40797805,18.50913294
2002/1/2 23:00,18.40818762,18.50949257
2002/1/2 23:10,17.9235945,17.827195
2002/1/2 23:20,17.91732951,17.78127394
2002/1/2 23:30,17.90950703,17.77329835
2002/1/2 23:40,17.91466581,17.77872333
2002/1/2 23:50,17.91577983,17.77987965
2002/1/3 0:00,17.91633314,17.78015655
2002/1/3 0:10,18.08819526,18.27486123
2002/1/3 0:20,18.09167352,18.2817734
2002/1/3 0:30,18.08514186,18.27567854
2002/1/3 0:40,18.08884339,18.27983771
2002/1/3 0:50,18.08990111,18.2807424
2002/1/3 1:00,18.09013003,18.28096337
2002/1/3 1:10,18.32570537,17.60954918
2002/1/3 1:20,18.33089383,17.6002702
2002/1/3 1:30,18.32417587,17.59383792
2002/1/3 1:40,18.32800152,17.59821235
2002/1/3 1:50,18.32926257,17.59910283
2002/1/3 2:00,18.32950133,17.5992863
2002/1/3 2:10,17.67642771,17.54766919
2002/1/3 2:20,17.66737581,17.54795608
2002/1/3 2:30,17.6581059,17.54350485
2002/1/3 2:40,17.66419544,17.54620783
2002/1/3 2:50,17.66532863,17.5467837
2002/1/3 3:00,17.66583721,17.5469091
2002/1/3 3:10,18.85022713,18.52535187
2002/1/3 3:20,18.88750817,18.54973942
2002/1/3 3:30,18.88245744,18.54219567
2002/1/3 3:40,18.88635949,18.547477
2002/1/3 3:50,18.88776246,18.54882112
2002/1/3 4:00,18.88819131,18.54908871
2002/1/3 4:10,19.40293434,17.6861284
2002/1/3 4:20,19.40343505,17.60127611
2002/1/3 4:30,19.41320648,17.60035569
2002/1/3 4:40,19.41551629,17.59543128
2002/1/3 4:50,19.41635726,17.59833838
2002/1/3 5:00,19.41673605,17.59892869
2002/1/3 5:10,17.67957455,17.1171044
2002/1/3 5:20,17.34697602,17.11127764
2002/1/3 5:30,17.332906,17.10482747
2002/1/3 5:40,17.33862507,17.10964763
2002/1/3 5:50,17.33998582,17.11055894
2002/1/3 6:00,17.34029532,17.11057369
2002/1/3 6:10,17.802452,17.47718037
2002/1/3 6:20,17.81225478,17.48025282
2002/1/3 6:30,17.80547122,17.472051
2002/1/3 6:40,17.80960994,17.47818438
2002/1/3 6:50,17.81081779,17.4794922
2002/1/3 7:00,17.81098201,17.47982977
2002/1/3 7:10,21.59751037,21.21232729
2002/1/3 7:20,22.00078052,21.52736674
2002/1/3 7:30,22.00369271,21.52636459
2002/1/3 7:40,22.01721574,21.53863399
2002/1/3 7:50,22.01835773,21.53945646
2002/1/3 8:00,22.01713308,21.53885585
2002/1/3 8:10,22.58794056,21.58000955
2002/1/3 8:20,22.60473476,21.58080033
2002/1/3 8:30,22.60496936,21.58086037
2002/1/3 8:40,22.60518823,21.58114332
2002/1/3 8:50,22.60611315,21.58215519
2002/1/3 9:00,22.6068298,21.57353488
2002/1/3 9:10,21.75448628,21.55098111
2002/1/3 9:20,21.74058746,21.55129738
2002/1/3 9:30,21.7292351,21.55194835
2002/1/3 9:40,21.73594219,21.55226805
2002/1/3 9:50,21.7380626,21.54353291
2002/1/3 10:00,21.73890088,21.54821475
2002/1/3 10:10,21.22305812,22.26753272
2002/1/3 10:20,21.21558508,22.28461138
2002/1/3 10:30,21.21608121,22.28581162
2002/1/3 10:40,21.21629936,22.28617772
2002/1/3 10:50,21.21631057,22.28622097
2002/1/3 11:00,21.21629085,22.27776436
2002/1/3 11:10,22.50113168,21.4560849
2002/1/3 11:20,22.5497712,21.3791591
2002/1/3 11:30,22.55207039,21.37859201
2002/1/3 11:40,22.55243315,21.37877809
2002/1/3 11:50,22.55241788,21.3705566
2002/1/3 12:00,22.54406363,21.37533012
2002/1/3 12:10,22.23501329,21.83942096
2002/1/3 12:20,22.2184263,21.84840798
2002/1/3 12:30,22.22272208,21.84149059
2002/1/3 12:40,22.22393404,21.84487091
2002/1/3 12:50,22.22435041,21.84697139
