Date/Time,Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Gas:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Gas:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Gas:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod) 
 01/01,258604077.113356,0.0,1973295837.82074,0.0,0.0 
 01/02,398363077.231277,0.0,2083088773.233,0.0,0.0 
 01/03,398363077.231277,0.0,1901031514.52679,0.0,0.0 
 01/04,398363077.231277,0.0,2595056237.64621,0.0,0.0 
 01/05,398363077.231277,0.0,3804085215.136,0.0,0.0 
 01/06,398363077.231277,0.0,3903950428.44337,0.0,0.0 
 01/07,260179077.113356,0.0,4176649179.25873,0.0,0.0 
 01/08,260179077.113356,0.0,4485018820.84043,0.0,0.0 
 01/09,398363077.231277,0.0,4021956939.29015,0.0,0.0 
 01/10,398363077.231277,0.0,2960270745.20648,0.0,0.0 
 01/11,398213077.231277,0.0,1599964778.07351,0.0,0.0 
 01/12,365903205.436405,0.0,375216373.895511,0.0,0.0 
 01/13,398348077.231277,0.0,2171488263.89326,0.0,0.0 
 01/14,260179077.113356,0.0,2605303113.44847,0.0,0.0 
 01/15,260179077.113356,0.0,2312969705.50752,0.0,0.0 
 01/16,513816062.257352,0.0,2585405386.19535,0.0,0.0 
 01/17,491933772.072125,0.0,985459098.401761,0.0,0.0 
 01/18,516270896.401704,0.0,1755740654.23435,0.0,0.0 
 01/19,514998173.241924,0.0,1902697429.98409,0.0,0.0 
 01/20,502853000.620038,0.0,1503980477.76291,0.0,0.0 
 01/21,236974440.36122,0.0,705906387.726071,0.0,0.0 
 01/22,239387538.651818,0.0,547191696.156242,0.0,0.0 
 01/23,515335040.080424,0.0,2066624330.50768,0.0,0.0 
 01/24,515867648.959334,0.0,2265580108.95894,0.0,0.0 
 01/25,514816874.826113,0.0,1546235812.97801,0.0,0.0 
 01/26,516605566.57499,0.0,2301684213.24101,0.0,0.0 
 01/27,516586216.805743,0.0,2908895705.94447,0.0,0.0 
 01/28,260179077.113356,0.0,2985436826.59442,0.0,0.0 
 01/29,260179077.113356,0.0,2805231078.22535,0.0,0.0 
 01/30,515497205.19501,0.0,3163497871.0952,0.0,0.0 
 01/31,517224468.135916,0.0,2911144229.02164,0.0,0.0,12398851344.4951,0.0,73910057233.2477,0.0,0.0 
 02/01,515394069.496625,0.0,2641626858.82973,0.0,0.0 
 02/02,516093584.04203,0.0,3249250861.20934,0.0,0.0 
 02/03,513880294.212839,0.0,3961617699.75749,0.0,0.0 
 02/04,260179077.113356,0.0,3100598368.51708,0.0,0.0 
 02/05,260179077.113356,0.0,2236707674.86339,0.0,0.0 
 02/06,500247080.725363,0.0,1385174675.94085,0.0,0.0 
 02/07,486075854.046608,0.0,192546056.62898,0.0,0.0 
 02/08,495517002.866076,0.0,727659920.709491,0.0,0.0 
 02/09,501743513.495289,0.0,3085328167.05048,0.0,0.0 
 02/10,513748051.675689,0.0,3277306236.83451,0.0,0.0 
 02/11,252791577.113356,0.0,1340552274.34537,0.0,0.0 
 02/12,257854077.113356,0.0,1612677858.07973,0.0,0.0 
 02/13,512742483.356451,0.0,2606867332.13329,0.0,0.0 
 02/14,508289018.752982,0.0,1611605491.61429,0.0,0.0 
 02/15,515842522.059294,0.0,2200744387.17548,0.0,0.0 
 02/16,514715307.913013,0.0,2857966383.9469,0.0,0.0 
 02/17,507468133.408922,0.0,1467660322.11419,0.0,0.0 
 02/18,247636256.600536,0.0,680035360.826701,0.0,0.0 
 02/19,242105359.164639,0.0,523207869.103021,0.0,0.0 
 02/20,501941858.640016,0.0,626250388.862866,0.0,0.0 
 02/21,492271052.103503,0.0,507557451.485862,0.0,0.0 
 02/22,478733222.124411,0.0,10857564.712853,0.0,0.0 
 02/23,471424614.114203,0.0,5203747.40204452,0.0,0.0 
 02/24,476733922.823582,0.0,0.0,0.0,0.0 
 02/25,243245893.352673,0.0,600356828.73777,0.0,0.0 
 02/26,257981577.113356,0.0,1926581002.44148,0.0,0.0 
 02/27,513628510.679592,0.0,1569818568.56554,0.0,0.0 
 02/28,504833773.771566,0.0,743712167.104792,0.0,0.0,12063296764.9924,0.0,44749471518.9935,0.0,0.0 
 03/01,483877056.058825,0.0,366132228.462749,0.0,0.0 
 03/02,516347234.55983,0.0,1943016364.93976,0.0,0.0 
 03/03,516694117.103182,0.0,2373194929.69535,0.0,0.0 
 03/04,252814077.113356,0.0,1458567621.06267,0.0,0.0 
 03/05,249624632.668912,0.0,1268321566.53259,0.0,0.0 
 03/06,502968002.000988,0.0,1122343446.24923,0.0,0.0 
 03/07,495657624.014356,0.0,601624445.471995,0.0,0.0 
 03/08,501821026.501656,0.0,699057348.547395,0.0,0.0 
 03/09,497306889.372034,0.0,525994492.374106,0.0,0.0 
 03/10,519529876.182004,0.0,2110097736.08371,0.0,0.0 
 03/11,254239077.113356,0.0,2423876885.13067,0.0,0.0 
 03/12,259174077.113356,0.0,2383272677.39596,0.0,0.0 
 03/13,478643665.410125,0.0,2103341051.8074,0.0,0.0 
 03/14,479798408.976131,0.0,2944648791.41446,0.0,0.0 
 03/15,479912660.076016,0.0,3189577013.78322,0.0,0.0 
 03/16,482666924.228895,0.0,2773535516.62248,0.0,0.0 
