Date/Time,Cooling:Electricity [J](Monthly),Heating:Gas [J](Monthly),Fans:Electricity [J](Monthly),HeatingCoils:EnergyTransfer [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Cooling:Electricity [J](RunPeriod),Heating:Gas [J](RunPeriod),Fans:Electricity [J](RunPeriod),HeatingCoils:EnergyTransfer [J](RunPeriod),CoolingCoils:EnergyTransfer [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),Gas:Facility [J](Monthly),Gas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Gas:Facility [J](RunPeriod),Gas:HVAC [J](RunPeriod) 
February,192762000.0,1434166443.1709493,723142494.6637006,1147333154.5367587,0.0,1225800000.0,679680000.0,192762000.0,1434166443.1709493,723142494.6637006,1147333154.5367587,0.0,1225800000.0,679680000.0,2821384494.663728,1905480000.0,915904494.6637015,1434166443.1709493,1434166443.1709493,2821384494.663728,1905480000.0,915904494.6637015,1434166443.1709493,1434166443.1709493 
June,479161553.1680919,61921778.214360479,131282941.02858339,49537422.57148837,2251032894.2304975,1225800000.0,679680000.0,479161553.1680919,61921778.214360479,131282941.02858339,49537422.57148837,2251032894.2304975,1225800000.0,679680000.0,2515924494.196676,1905480000.0,610444494.1966759,61921778.214360479,61921778.214360479,2515924494.196676,1905480000.0,610444494.1966759,61921778.214360479,61921778.214360479 
