Occupant Number,0,1,2,3,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Occupant ID,S1_Office_-_Private_O1,S1_Office_-_Private_O2,S1_Office_-_Private_O3,S1_Office_-_Private_O4,S1_Office_-_Private_O5,S2_Office_-_Private_O5,S2_Office_-_Private_O6,S2_Office_-_Private_O7,S2_Office_-_Private_O8,S2_Office_-_Private_O9,S2_Office_-_Private_O10,S2_Office_-_Private_O11,S3_Office_-_Private_O1,S3_Office_-_Private_O2,S3_Office_-_Private_O3,S3_Office_-_Private_O4,S3_Office_-_Private_O5,S3_Office_-_Private_O6,S3_Office_-_Private_O7,S3_Office_-_Private_O8,S3_Office_-_Private_O9,S3_Office_-_Private_O10,S3_Office_-_Private_O11,S4_Office_-_Private_O1,S4_Office_-_Private_O2,S4_Office_-_Private_O3,S4_Office_-_Private_O4,S4_Office_-_Private_O5,S4_Office_-_Private_O6,S4_Office_-_Private_O7,S4_Office_-_Private_O8,S4_Office_-_Private_O9,S4_Office_-_Private_O10,S4_Office_-_Private_O11,S5_Office_-_Private_O1,S5_Office_-_Private_O2,S5_Office_-_Private_O3,S5_Office_-_Private_O4,S5_Office_-_Private_O5,S5_Office_-_Private_O6,S5_Office_-_Private_O7,S5_Office_-_Private_O8,S5_Office_-_Private_O9,S5_Office_-_Private_O10,S5_Office_-_Private_O11
Step,Time,S1_Office_-_Private,S2_Office_-_Private,S3_Office_-_Private,S4_Office_-_Private,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533, 1/27 9:15:00,0.469146008,0.39883528,0.677833019,0.751177236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534, 1/27 9:30:00,0.824276875,0.579370101,0.536285315,0.366809575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535, 1/27 9:45:00,0.421715916,0.369414807,0.744016518,0.549143871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536, 1/27 10:0:00,0.53539864,0.469201229,0.699993099,0.690231661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537, 1/27 10:15:00,0.484639359,0.646454672,0.691189814,0.53162996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538, 1/27 10:30:00,0.407989803,0.468566977,0.993134445,0.773751991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539, 1/27 10:45:00,0.363709009,0.375879519,0.703351729,0.676861078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540, 1/27 11:0:00,0.467093641,0.550216777,0.744272647,0.746902643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541, 1/27 11:15:00,0.452572687,0.420073201,0.667813289,0.775768994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542, 1/27 11:30:00,0.738693494,0.236692014,0.565113605,0.756349153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543, 1/27 11:45:00,0.330570314,0.387641019,0.457625318,0.544071086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544, 1/27 12:0:00,0.204319921,0.355435162,0.3820719,0.413725955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545, 1/27 12:15:00,0.128808929,0.465843799,0.322058147,0.371821388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546, 1/27 12:30:00,0.513130528,0.520168814,0.517695636,0.469561552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547, 1/27 12:45:00,0.239913888,0.373225645,0.607864605,0.380882261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548, 1/27 13:0:00,0.388036428,0.330368304,0.52668937,0.910527978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549, 1/27 13:15:00,0.879890219,0.494876026,0.749454748,0.62950132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550, 1/27 13:30:00,0.384680351,0.530511584,0.688470398,0.459517235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551, 1/27 13:45:00,0.62323154,0.436735578,0.830987811,0.755082964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552, 1/27 14:0:00,0.479578552,0.855013724,0.279357824,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553, 1/27 14:15:00,0.82236321,0.675523999,0.718144256,0.429758163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554, 1/27 14:30:00,0.780824903,0.85911099,0.803879121,0.725278023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555, 1/27 14:45:00,0.475416435,0.480804013,0.744670754,0.551200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556, 1/27 15:0:00,0.456643654,0.438092225,0.622534041,0.643647157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557, 1/27 15:15:00,0.445634172,0.523452018,0.674699244,0.954664313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558, 1/27 15:30:00,0.24965165,0.510388399,0.795391388,0.368916597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559, 1/27 15:45:00,0.388523496,0.916010555,0.592732417,0.692470764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560, 1/27 16:0:00,0.543126581,0.712843393,0.616735581,0.593276983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561, 1/27 16:15:00,0.383288555,0.608191214,0.50146182,0.576821493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562, 1/27 16:30:00,0.567917303,0.502305278,0.230415378,0.477016727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563, 1/27 16:45:00,0.778237096,0.34479553,0.208922855,0.7614047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564, 1/27 17:0:00,0.32595966,0.447319766,0.65140134,0.280239373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565, 1/27 17:15:00,0.700421757,0.409349363,0.409887561,0.341853081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566, 1/27 17:30:00,0.30803916,0.18183823,0.257710081,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567, 1/27 17:45:00,0.1,0.1,0.1,0.142377588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568, 1/27 18:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569, 1/27 18:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2570, 1/27 18:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571, 1/27 18:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572, 1/27 19:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573, 1/27 19:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574, 1/27 19:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575, 1/27 19:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2576, 1/27 20:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577, 1/27 20:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578, 1/27 20:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2579, 1/27 20:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2580, 1/27 21:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581, 1/27 21:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582, 1/27 21:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583, 1/27 21:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584, 1/27 22:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585, 1/27 22:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586, 1/27 22:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2587, 1/27 22:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588, 1/27 23:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2589, 1/27 23:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590, 1/27 23:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2591, 1/27 23:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592, 1/28 0:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593, 1/28 0:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594, 1/28 0:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2595, 1/28 0:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596, 1/28 1:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597, 1/28 1:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2598, 1/28 1:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599, 1/28 1:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600, 1/28 2:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601, 1/28 2:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602, 1/28 2:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603, 1/28 2:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604, 1/28 3:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605, 1/28 3:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606, 1/28 3:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607, 1/28 3:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608, 1/28 4:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609, 1/28 4:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610, 1/28 4:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611, 1/28 4:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612, 1/28 5:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613, 1/28 5:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614, 1/28 5:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2615, 1/28 5:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616, 1/28 6:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617, 1/28 6:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618, 1/28 6:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619, 1/28 6:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620, 1/28 7:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621, 1/28 7:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622, 1/28 7:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623, 1/28 7:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624, 1/28 8:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625, 1/28 8:15:00,0.242605498,0.1,0.144528294,0.146771248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626, 1/28 8:30:00,0.360251328,0.183416187,0.455231255,0.210648562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627, 1/28 8:45:00,0.732716041,0.618565718,0.571387369,0.451638184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628, 1/28 9:0:00,0.627504874,0.476648143,0.598081507,0.887766276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629, 1/28 9:15:00,0.554044578,0.481676878,0.926683652,0.659075529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630, 1/28 9:30:00,0.501729144,0.348824758,0.594130544,0.908722415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631, 1/28 9:45:00,0.544137113,0.482491962,0.656231664,0.454781367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632, 1/28 10:0:00,0.563871464,0.506841657,0.728745692,0.602292374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633, 1/28 10:15:00,0.584721787,0.572470079,0.664960122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634, 1/28 10:30:00,0.280430163,0.523988013,0.637345496,0.344877206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635, 1/28 10:45:00,0.746199036,0.489817093,0.47091143,0.54926733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636, 1/28 11:0:00,0.948718131,0.417200985,0.531942894,0.438028023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637, 1/28 11:15:00,0.480131287,0.483895539,0.459585597,0.502868859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638, 1/28 11:30:00,0.676026168,0.376018841,0.566382965,0.264695351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639, 1/28 11:45:00,0.311420977,0.46145506,0.320027001,0.164194642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640, 1/28 12:0:00,0.299385227,0.1,0.280038069,0.344216842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641, 1/28 12:15:00,0.199813225,0.420230952,0.31716634,0.453418724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642, 1/28 12:30:00,0.514640807,0.500830258,0.374563587,0.562905973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643, 1/28 12:45:00,0.608872868,0.534845972,0.493735051,0.294735371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644, 1/28 13:0:00,0.834763937,0.280172,0.542565529,0.513539024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645, 1/28 13:15:00,0.562144089,0.675850592,0.619339419,0.586430733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646, 1/28 13:30:00,0.446414792,0.555299537,0.550468492,0.525599464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647, 1/28 13:45:00,0.392396061,0.447475522,0.404676177,0.450550243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648, 1/28 14:0:00,0.596293426,0.553121108,0.754540762,0.603545485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649, 1/28 14:15:00,0.775080361,0.372755105,0.699878152,0.8539011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650, 1/28 14:30:00,0.806469225,0.265547697,0.631532821,0.778780892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651, 1/28 14:45:00,0.506690566,0.557890767,0.535501384,0.682530434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652, 1/28 15:0:00,0.559192567,0.610626565,0.312269576,0.334566858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653, 1/28 15:15:00,0.538319787,0.305128688,0.585276813,0.142495753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654, 1/28 15:30:00,0.380924404,0.401566553,0.697070859,0.666338175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655, 1/28 15:45:00,0.547281005,0.608542722,0.366804464,0.501421559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656, 1/28 16:0:00,0.807542966,0.416444044,0.893738882,0.425649884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657, 1/28 16:15:00,0.615691876,0.642774722,0.626653031,0.68461229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658, 1/28 16:30:00,0.458542942,0.737493542,0.637579861,0.456638284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659, 1/28 16:45:00,0.428723941,0.429719485,0.475415307,0.457947928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660, 1/28 17:0:00,0.54327864,0.364727136,0.613471353,0.534853937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661, 1/28 17:15:00,0.624716306,0.304158716,0.298778977,0.383696285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662, 1/28 17:30:00,0.153062282,0.14625878,0.1,0.366832306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663, 1/28 17:45:00,0.1,0.1,0.311817427,0.258764457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664, 1/28 18:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665, 1/28 18:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666, 1/28 18:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667, 1/28 18:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668, 1/28 19:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669, 1/28 19:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670, 1/28 19:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671, 1/28 19:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672, 1/28 20:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673, 1/28 20:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674, 1/28 20:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675, 1/28 20:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676, 1/28 21:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677, 1/28 21:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678, 1/28 21:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679, 1/28 21:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680, 1/28 22:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681, 1/28 22:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682, 1/28 22:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683, 1/28 22:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684, 1/28 23:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685, 1/28 23:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686, 1/28 23:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687, 1/28 23:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688, 1/29 0:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689, 1/29 0:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690, 1/29 0:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691, 1/29 0:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692, 1/29 1:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693, 1/29 1:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694, 1/29 1:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695, 1/29 1:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696, 1/29 2:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697, 1/29 2:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698, 1/29 2:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699, 1/29 2:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700, 1/29 3:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701, 1/29 3:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702, 1/29 3:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703, 1/29 3:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704, 1/29 4:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705, 1/29 4:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706, 1/29 4:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707, 1/29 4:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708, 1/29 5:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709, 1/29 5:15:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710, 1/29 5:30:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711, 1/29 5:45:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712, 1/29 6:0:00,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
