Version, 1.3 ,Room Amount, 5 ,Occupant Amount, 25
Start Time, 1-1 ,End Time, 12-31,Number of Steps per Hour, 4
Room Number,0,1,2,3,4,5,-1, 
Room ID,S0_Outdoor,S1_Office_-_Private,S2_Office_-_Private,S3_Office_-_Private,S4_Office_-_Private,S5_Office_-_Private,Outside building, 
Occupant Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
Occupant ID,S1_Office_-_Private_O1,S1_Office_-_Private_O2,S1_Office_-_Private_O3,S1_Office_-_Private_O4,S1_Office_-_Private_O5,S2_Office_-_Private_O1,S2_Office_-_Private_O2,S2_Office_-_Private_O3,S2_Office_-_Private_O4,S2_Office_-_Private_O5,S3_Office_-_Private_O1,S3_Office_-_Private_O2,S3_Office_-_Private_O3,S3_Office_-_Private_O4,S3_Office_-_Private_O5,S4_Office_-_Private_O1,S4_Office_-_Private_O2,S4_Office_-_Private_O3,S4_Office_-_Private_O4,S4_Office_-_Private_O5,S5_Office_-_Private_O1,S5_Office_-_Private_O2,S5_Office_-_Private_O3,S5_Office_-_Private_O4,S5_Office_-_Private_O5,
Step,Time,S1_Office_-_Private,S2_Office_-_Private,S3_Office_-_Private,S4_Office_-_Private,S5_Office_-_Private,0, 1/1 0:0:00,0,0,0,0,0,
89, 1/1 22:15:00,0,0,0,0,0,
90, 1/1 22:30:00,0,0,0,0,0,
91, 1/1 22:45:00,0,0,0,0,0,
92, 1/1 23:0:00,0,0,0,0,0,
93, 1/1 23:15:00,0,0,0,0,0,
94, 1/1 23:30:00,0,0,0,0,0,
95, 1/1 23:45:00,0,0,0,0,0,
96, 1/2 0:0:00,0,0,0,0,0,
97, 1/2 0:15:00,0,0,0,0,0,
98, 1/2 0:30:00,0,0,0,0,0,
99, 1/2 0:45:00,0,0,0,0,0,
100, 1/2 1:0:00,0,0,0,0,0,
101, 1/2 1:15:00,0,0,0,0,0,
102, 1/2 1:30:00,0,0,0,0,0,
103, 1/2 1:45:00,0,0,0,0,0,
104, 1/2 2:0:00,0,0,0,0,0,
105, 1/2 2:15:00,0,0,0,0,0,
106, 1/2 2:30:00,0,0,0,0,0,
107, 1/2 2:45:00,0,0,0,0,0,
108, 1/2 3:0:00,0,0,0,0,0,
109, 1/2 3:15:00,0,0,0,0,0,
110, 1/2 3:30:00,0,0,0,0,0,
111, 1/2 3:45:00,0,0,0,0,0,
112, 1/2 4:0:00,0,0,0,0,0,
113, 1/2 4:15:00,0,0,0,0,0,
114, 1/2 4:30:00,0,0,0,0,0,
115, 1/2 4:45:00,0,0,0,0,0,
116, 1/2 5:0:00,0,0,0,0,0,
117, 1/2 5:15:00,0,0,0,0,0,
118, 1/2 5:30:00,0,0,0,0,0,
119, 1/2 5:45:00,0,0,0,0,0,
120, 1/2 6:0:00,0,0,0,0,0,
121, 1/2 6:15:00,0,0,0,0,0,
122, 1/2 6:30:00,0,0,0,0,0,
123, 1/2 6:45:00,0,0,0,0,0,
124, 1/2 7:0:00,0,0,0,0,0,
125, 1/2 7:15:00,0,0,0,0,0,
126, 1/2 7:30:00,0,0,0,0,0,
127, 1/2 7:45:00,0,0,0,0,0,
128, 1/2 8:0:00,0,0,0,0,0,
129, 1/2 8:15:00,0,0,0,0,0,
130, 1/2 8:30:00,0,0,0,0,0,
131, 1/2 8:45:00,0,0,0,0,0,
132, 1/2 9:0:00,0,0,0,0,0,
133, 1/2 9:15:00,0,0,0,0,0,
134, 1/2 9:30:00,0,0,0,0,0,
135, 1/2 9:45:00,0,0,0,0,0,
136, 1/2 10:0:00,0,0,0,0,0,
137, 1/2 10:15:00,0,0,0,0,0,
138, 1/2 10:30:00,0,0,0,0,0,
139, 1/2 10:45:00,0,0,0,0,0,
140, 1/2 11:0:00,0,0,0,0,0,
141, 1/2 11:15:00,0,0,0,0,0,
142, 1/2 11:30:00,0,0,0,0,0,
143, 1/2 11:45:00,0,0,0,0,0,
144, 1/2 12:0:00,0,0,0,0,0,
145, 1/2 12:15:00,0,0,0,0,0,
146, 1/2 12:30:00,0,0,0,0,0,
147, 1/2 12:45:00,0,0,0,0,0,
148, 1/2 13:0:00,0,0,0,0,0,
149, 1/2 13:15:00,0,0,0,0,0,
150, 1/2 13:30:00,0,0,0,0,0,
151, 1/2 13:45:00,0,0,0,0,0,
152, 1/2 14:0:00,0,0,0,0,0,
153, 1/2 14:15:00,0,0,0,0,0,
154, 1/2 14:30:00,0,0,0,0,0,
155, 1/2 14:45:00,0,0,0,0,0,
156, 1/2 15:0:00,0,0,0,0,0,
157, 1/2 15:15:00,0,0,0,0,0,
158, 1/2 15:30:00,0,0,0,0,0,
159, 1/2 15:45:00,0,0,0,0,0,
160, 1/2 16:0:00,0,0,0,0,0,
161, 1/2 16:15:00,0,0,0,0,0,
162, 1/2 16:30:00,0,0,0,0,0,
163, 1/2 16:45:00,0,0,0,0,0,
164, 1/2 17:0:00,0,0,0,0,0,
165, 1/2 17:15:00,0,0,0,0,0,
166, 1/2 17:30:00,0,0,0,0,0,
167, 1/2 17:45:00,0,0,0,0,0,
168, 1/2 18:0:00,0,0,0,0,0,
169, 1/2 18:15:00,0,0,0,0,0,
170, 1/2 18:30:00,0,0,0,0,0,
171, 1/2 18:45:00,0,0,0,0,0,
172, 1/2 19:0:00,0,0,0,0,0,
173, 1/2 19:15:00,0,0,0,0,0,
174, 1/2 19:30:00,0,0,0,0,0,
175, 1/2 19:45:00,0,0,0,0,0,
176, 1/2 20:0:00,0,0,0,0,0,
177, 1/2 20:15:00,0,0,0,0,0,
178, 1/2 20:30:00,0,0,0,0,0,
179, 1/2 20:45:00,0,0,0,0,0,
180, 1/2 21:0:00,0,0,0,0,0,
181, 1/2 21:15:00,0,0,0,0,0,
182, 1/2 21:30:00,0,0,0,0,0,
183, 1/2 21:45:00,0,0,0,0,0,
184, 1/2 22:0:00,0,0,0,0,0,
185, 1/2 22:15:00,0,0,0,0,0,
186, 1/2 22:30:00,0,0,0,0,0,
187, 1/2 22:45:00,0,0,0,0,0,
188, 1/2 23:0:00,0,0,0,0,0,
189, 1/2 23:15:00,0,0,0,0,0,
190, 1/2 23:30:00,0,0,0,0,0,
191, 1/2 23:45:00,0,0,0,0,0,
192, 1/3 0:0:00,0,0,0,0,0,
193, 1/3 0:15:00,0,0,0,0,0,
194, 1/3 0:30:00,0,0,0,0,0,
195, 1/3 0:45:00,0,0,0,0,0,
196, 1/3 1:0:00,0,0,0,0,0,
197, 1/3 1:15:00,0,0,0,0,0,
198, 1/3 1:30:00,0,0,0,0,0,
199, 1/3 1:45:00,0,0,0,0,0,
200, 1/3 2:0:00,0,0,0,0,0,
201, 1/3 2:15:00,0,0,0,0,0,
202, 1/3 2:30:00,0,0,0,0,0,
203, 1/3 2:45:00,0,0,0,0,0,
204, 1/3 3:0:00,0,0,0,0,0,
205, 1/3 3:15:00,0,0,0,0,0,
206, 1/3 3:30:00,0,0,0,0,0,
207, 1/3 3:45:00,0,0,0,0,0,
208, 1/3 4:0:00,0,0,0,0,0,
209, 1/3 4:15:00,0,0,0,0,0,
210, 1/3 4:30:00,0,0,0,0,0,
211, 1/3 4:45:00,0,0,0,0,0,
212, 1/3 5:0:00,0,0,0,0,0,
213, 1/3 5:15:00,0,0,0,0,0,
214, 1/3 5:30:00,0,0,0,0,0,
215, 1/3 5:45:00,0,0,0,0,0,
216, 1/3 6:0:00,0,0,0,0,0,
217, 1/3 6:15:00,0,0,0,0,0,
218, 1/3 6:30:00,0,0,0,0,0,
219, 1/3 6:45:00,0,0,0,0,0,
220, 1/3 7:0:00,0,0,0,0,0,
221, 1/3 7:15:00,0,0,0,0,0,
222, 1/3 7:30:00,0,0,0,0,0,
223, 1/3 7:45:00,0,0,0,0,0,
224, 1/3 8:0:00,0,0,0,0,0,
225, 1/3 8:15:00,0,0,0,0,0,
226, 1/3 8:30:00,0,0,0,0,0,
227, 1/3 8:45:00,0,0,0,0,0,
228, 1/3 9:0:00,0,0,0,0,0,
229, 1/3 9:15:00,0,0,0,0,0,
230, 1/3 9:30:00,0,0,0,0,0,
231, 1/3 9:45:00,0,0,0,0,0,
232, 1/3 10:0:00,0,0,0,0,0,
233, 1/3 10:15:00,0,0,0,0,0,
234, 1/3 10:30:00,0,0,0,0,0,
235, 1/3 10:45:00,0,0,0,0,0,
236, 1/3 11:0:00,0,0,0,0,0,
237, 1/3 11:15:00,0,0,0,0,0,
238, 1/3 11:30:00,0,0,0,0,0,
239, 1/3 11:45:00,0,0,0,0,0,
240, 1/3 12:0:00,0,0,0,0,0,
241, 1/3 12:15:00,0,0,0,0,0,
242, 1/3 12:30:00,0,0,0,0,0,
243, 1/3 12:45:00,0,0,0,0,0,
244, 1/3 13:0:00,0,0,0,0,0,
245, 1/3 13:15:00,0,0,0,0,0,
246, 1/3 13:30:00,0,0,0,0,0,
247, 1/3 13:45:00,0,0,0,0,0,
248, 1/3 14:0:00,0,0,0,0,0,
249, 1/3 14:15:00,0,0,0,0,0,
250, 1/3 14:30:00,0,0,0,0,0,
251, 1/3 14:45:00,0,0,0,0,0,
252, 1/3 15:0:00,0,0,0,0,0,
253, 1/3 15:15:00,0,0,0,0,0,
254, 1/3 15:30:00,0,0,0,0,0,
255, 1/3 15:45:00,0,0,0,0,0,
256, 1/3 16:0:00,0,0,0,0,0,
257, 1/3 16:15:00,0,0,0,0,0,
258, 1/3 16:30:00,0,0,0,0,0,
259, 1/3 16:45:00,0,0,0,0,0,
